"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Reach,"CPM (cost per 1,000 impressions) (EGP)",Impressions,Frequency,"Ad set budget","Ad set budget type",Results,"Result indicator","Cost per results","Amount spent (EGP)","CTR (link click-through rate)","Video plays","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 100%","CPC (cost per link click) (EGP)","Messaging contacts","Post engagements"
2025-07-01,2025-11-30,"carisma3 |page likes",inactive,"7-day click or 1-day view",36684,15.460408,74434,2.029059,150,Daily,481,actions:like,2.39247401,1150.78,0.108821,12760,5315,608,377,318,249,14.20716,,5572
2025-07-01,2025-11-30,"‎‎Carisma | go cut | كل الفروع| msg | 6-25‎ - new",inactive,"7-day click or 1-day view",17361,47.140558,44736,2.57681,"Using ad set budget",0,145,actions:onsite_conversion.messaging_conversation_started_7d,14.544,2108.88,0.806956,34053,6349,3206,1456,903,493,5.841773,162,6775
2025-07-01,2025-11-30,"Carisma hiring receptionist 3 فروع",inactive,"7-day click or 1-day view",11729,9.364489,33060,2.818655,"Using ad set budget",0,235,actions:post_engagement,1.31740426,309.59,0.604961,,,,,,,1.54795,85,235
2025-07-01,2025-11-30,"‎‎Carisma | فيلر| كل الفروع| msg | 6-25‎ - new‎ 2",inactive,"7-day click or 1-day view",179,56.497696,217,1.212291,"Using ad set budget",0,3,actions:onsite_conversion.messaging_conversation_started_7d,4.08666667,12.26,0.921659,161,37,15,5,3,4,6.13,,39
2025-07-01,2025-11-30,"‎‎‎Carisma |  بوتوكس وجه 2| كل الفروع| msg | 6-25‎",inactive,"7-day click or 1-day view",222,37.620968,248,1.117117,"Using ad set budget",0,3,actions:onsite_conversion.messaging_conversation_started_7d,3.11,9.33,1.209677,,,,,,,3.11,1,3
2025-07-01,2025-11-30,"‎‎‎‎Carisma |  بوتوكس تعرق| كل الفروع| msg | 6-25‎‎",inactive,"7-day click or 1-day view",80,25.494505,91,1.1375,"Using ad set budget",0,,,,2.32,,,,,,,,,,
2025-07-01,2025-11-30,"Carisma |msg| 7-25| بوتوكس",inactive,"7-day click or 1-day view",31036,27.027735,73301,2.361806,"Using ad set budget",0,107,actions:onsite_conversion.messaging_conversation_started_7d,18.51551402,1981.16,0.398357,,,,,,,6.784795,117,384
2025-07-01,2025-11-30,"‎Carisma |msg| 7-25| filler",inactive,"7-day click or 1-day view",16867,40.277792,38194,2.264422,"Using ad set budget",0,82,actions:onsite_conversion.messaging_conversation_started_7d,18.76060976,1538.37,0.748809,16434,3605,3138,1506,843,520,5.378916,91,3936
2025-07-01,2025-11-30,"Carisma | تفاعل | 7-7 |",inactive,"7-day click or 1-day view",2988,18.911842,3437,1.150268,"Using ad set budget",0,59,actions:post_engagement,1.10169492,65,0.552808,,,,,,,3.421053,1,59
2025-07-01,2025-11-30,"‎Carisma |msg| 7-7 | Go Cut",inactive,"7-day click or 1-day view",1468,51.472026,1841,1.254087,"Using ad set budget",0,11,actions:onsite_conversion.messaging_conversation_started_7d,8.61454545,94.76,0.923411,1311,340,230,105,65,27,5.574118,11,362
2025-07-01,2025-11-30,"Carisma | MSG | 7-10",inactive,"7-day click or 1-day view",1122,40.840598,1606,1.431373,"Using ad set budget",0,3,actions:onsite_conversion.messaging_conversation_started_7d,21.86333333,65.59,0.809465,,,,,,,5.045385,7,15
2025-07-01,2025-11-30,"Carisma | ENG | 7-10",inactive,"7-day click or 1-day view",912,20.726539,991,1.086623,"Using ad set budget",0,29,actions:post_engagement,0.70827586,20.54,0.807265,,,,,,,2.5675,1,29
2025-07-01,2025-11-30,"Carisma | ENG | skin booster 7 - 12",inactive,"7-day click or 1-day view",5179,18.344443,6451,1.245607,"Using ad set budget",0,179,actions:post_engagement,0.66111732,118.34,0.930088,,,,,,,1.972333,2,179
2025-07-01,2025-11-30,"Carisma | GO CUT | 7-12 | MSG",inactive,"7-day click or 1-day view",3735,49.969797,7284,1.950201,"Using ad set budget",0,29,actions:onsite_conversion.messaging_conversation_started_7d,12.55103448,363.98,0.892367,5307,1091,597,300,180,75,5.599692,35,1172
2025-07-01,2025-11-30,"Carisma | BOTOX | 7-12 | MSG",inactive,"7-day click or 1-day view",4178,31.815572,5921,1.417185,"Using ad set budget",0,33,actions:onsite_conversion.messaging_conversation_started_7d,5.70848485,188.38,0.692451,,,,,,,4.594634,35,50
2025-07-01,2025-11-30,"Carisma | FILER | 7-12 | MSG",inactive,"7-day click or 1-day view",4510,31.049612,6450,1.430155,"Using ad set budget",0,24,actions:onsite_conversion.messaging_conversation_started_7d,8.34458333,200.27,0.682171,,,,,,,4.551591,23,57
2025-07-01,2025-11-30,"Carisma | ENG | تقشير ميلان",inactive,"7-day click or 1-day view",1811,16.007083,2259,1.247377,"Using ad set budget",0,37,actions:post_engagement,0.9772973,36.16,0.442674,,,,,,,3.616,,37
2025-07-01,2025-11-30,"Carisma | MSG | |  تنضيف بشره | 22 - 7",inactive,"7-day click or 1-day view",13402,42.570217,26418,1.971198,"Using ad set budget",0,137,actions:onsite_conversion.messaging_conversation_started_7d,8.20890511,1124.62,0.734348,,,,,,,5.79701,142,285
